,Product name,Price,Image URL,Scroll batch,SKU,Short description,Detail URL
10,Grayson Crewneck Sweatshirt,$64,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh11-white_main.jpg,0,MH11,This is a variable product called a Grayson Crewneck Sweatshirt,https://scrapingcourse.com/ecommerce/product/grayson-crewneck-sweatshirt
11,Ajax Full-Zip Sweatshirt,$69,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh12-green_main.jpg,0,MH12,This is a variable product called a Ajax Full-Zip Sweatshirt,https://scrapingcourse.com/ecommerce/product/ajax-full-zip-sweatshirt
12,Marco Lightweight Active Hoodie,$74,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh13-blue_main.jpg,2,MH13,This is a variable product called a Marco Lightweight Active Hoodie,https://scrapingcourse.com/ecommerce/product/marco-lightweight-active-hoodie
13,Beaumont Summit Kit,$42,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj01-yellow_main.jpg,2,MJ01,This is a variable product called a Beaumont Summit Kit,https://scrapingcourse.com/ecommerce/product/beaumont-summit-kit
14,Hyperion Elements Jacket,$51,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj02-green_main.jpg,2,MJ02,This is a variable product called a Hyperion Elements Jacket,https://scrapingcourse.com/ecommerce/product/hyperion-elements-jacket
15,Montana Wind Jacket,$49,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj03-black_main.jpg,2,MJ03,This is a variable product called a Montana Wind Jacket,https://scrapingcourse.com/ecommerce/product/montana-wind-jacket
16,Kenobi Trail Jacket,$47,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj04-black_main.jpg,2,MJ04,This is a variable product called a Kenobi Trail Jacket,https://scrapingcourse.com/ecommerce/product/kenobi-trail-jacket
17,Jupiter All-Weather Trainer,$56.99,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj06-blue_main.jpg,2,MJ06,This is a variable product called a Jupiter All-Weather Trainer,https://scrapingcourse.com/ecommerce/product/jupiter-all-weather-trainer
18,Orion Two-Tone Fitted Jacket,$72,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj07-red_main.jpg,2,MJ07,This is a variable product called a Orion Two-Tone Fitted Jacket,https://scrapingcourse.com/ecommerce/product/orion-two-tone-fitted-jacket
19,Lando Gym Jacket,$99,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj08-gray_main.jpg,2,MJ08,This is a variable product called a Lando Gym Jacket,https://scrapingcourse.com/ecommerce/product/lando-gym-jacket
20,Taurus Elements Shell,$65,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj09-yellow_main.jpg,2,MJ09,This is a variable product called a Taurus Elements Shell,https://scrapingcourse.com/ecommerce/product/taurus-elements-shell
21,Mars HeatTech&trade; Pullover,$66,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj10-red_main.jpg,2,MJ10,This is a variable product called a Mars HeatTech™ Pullover,https://scrapingcourse.com/ecommerce/product/mars-heattech&trade;-pullover
22,Typhon Performance Fleece-lined Jacket,$60,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj11-black_main.jpg,3,MJ11,This is a variable product called a Typhon Performance Fleece-lined Jacket,https://scrapingcourse.com/ecommerce/product/typhon-performance-fleece-lined-jacket
23,Proteus Fitness Jackshirt,$45,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj12-orange_main.jpg,3,MJ12,This is a variable product called a Proteus Fitness Jackshirt,https://scrapingcourse.com/ecommerce/product/proteus-fitness-jackshirt
24,Caesar Warm-Up Pant,$35,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp01-gray_main.jpg,3,MP01,This is a variable product called a Caesar Warm-Up Pant,https://scrapingcourse.com/ecommerce/product/caesar-warm-up-pant
25,Viktor LumaTech&trade; Pant,$46,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp02-gray_main.jpg,3,MP02,This is a variable product called a Viktor LumaTech™ Pant,https://scrapingcourse.com/ecommerce/product/viktor-lumatech&trade;-pant
26,Geo Insulated Jogging Pant,$51,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp03-black_main.jpg,3,MP03,This is a variable product called a Geo Insulated Jogging Pant,https://scrapingcourse.com/ecommerce/product/geo-insulated-jogging-pant
27,Supernova Sport Pant,$45,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp04-gray_main.jpg,3,MP04,This is a variable product called a Supernova Sport Pant,https://scrapingcourse.com/ecommerce/product/supernova-sport-pant
28,Kratos Gym Pant,$57,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp05-blue_main.jpg,3,MP05,This is a variable product called a Kratos Gym Pant,https://scrapingcourse.com/ecommerce/product/kratos-gym-pant
29,Mithra Warmup Pant,$28,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp06-gray_main.jpg,3,MP06,This is a variable product called a Mithra Warmup Pant,https://scrapingcourse.com/ecommerce/product/mithra-warmup-pant
30,Thorpe Track Pant,$68,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp07-blue_main.jpg,3,MP07,This is a variable product called a Thorpe Track Pant,https://scrapingcourse.com/ecommerce/product/thorpe-track-pant
31,Zeppelin Yoga Pant,$82,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp08-green_main.jpg,3,MP08,This is a variable product called a Zeppelin Yoga Pant,https://scrapingcourse.com/ecommerce/product/zeppelin-yoga-pant
32,Livingston All-Purpose Tight,$75,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp09-blue_main.jpg,4,MP09,This is a variable product called a Livingston All-Purpose Tight,https://scrapingcourse.com/ecommerce/product/livingston-all-purpose-tight
33,Orestes Yoga Pant,$66,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp10-black_main.jpg,4,MP10,This is a variable product called a Orestes Yoga Pant,https://scrapingcourse.com/ecommerce/product/orestes-yoga-pant
34,Aether Gym Pant,$74,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp11-brown_main.jpg,4,MP11,This is a variable product called a Aether Gym Pant,https://scrapingcourse.com/ecommerce/product/aether-gym-pant
35,Cronus Yoga Pant,$48,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp12-black_main.jpg,4,MP12,This is a variable product called a Cronus Yoga Pant,https://scrapingcourse.com/ecommerce/product/cronus-yoga-pant
36,Aero Daily Fitness Tee,$24,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms01-blue_main.jpg,4,MS01,This is a variable product called a Aero Daily Fitness Tee,https://scrapingcourse.com/ecommerce/product/aero-daily-fitness-tee
37,Ryker LumaTech&trade; Tee (V-neck),$28,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms02-gray_main.jpg,4,MS02,This is a variable product called a Ryker LumaTech™ Tee (V-neck),https://scrapingcourse.com/ecommerce/product/ryker-lumatech&trade;-tee-(v-neck)
38,Balboa Persistence Tee,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms03-black_main.jpg,4,MS03,This is a variable product called a Balboa Persistence Tee,https://scrapingcourse.com/ecommerce/product/balboa-persistence-tee
39,Gobi HeatTec&reg; Tee,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms04-orange_main.jpg,4,MS04,This is a variable product called a Gobi HeatTec® Tee,https://scrapingcourse.com/ecommerce/product/gobi-heattec&reg;-tee
40,Helios EverCool&trade; Tee,$24,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms05-blue_main.jpg,4,MS05,This is a variable product called a Helios EverCool™ Tee,https://scrapingcourse.com/ecommerce/product/helios-evercool&trade;-tee
41,Zoltan Gym Tee,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms06-blue_main.jpg,4,MS06,This is a variable product called a Zoltan Gym Tee,https://scrapingcourse.com/ecommerce/product/zoltan-gym-tee
42,Deion Long-Sleeve EverCool&trade; Tee,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms07-green_main.jpg,5,MS07,This is a variable product called a Deion Long-Sleeve EverCool™ Tee,https://scrapingcourse.com/ecommerce/product/deion-long-sleeve-evercool&trade;-tee
43,Strike Endurance Tee,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms08-black_main.jpg,5,MS08,This is a variable product called a Strike Endurance Tee,https://scrapingcourse.com/ecommerce/product/strike-endurance-tee
44,Ryker LumaTech&trade; Tee (Crew-neck),$32,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms09-blue_main.jpg,5,MS09,This is a variable product called a Ryker LumaTech™ Tee (Crew-neck),https://scrapingcourse.com/ecommerce/product/ryker-lumatech&trade;-tee-(crew-neck)
45,Logan HeatTec&reg; Tee,$24,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms10-blue_main.jpg,5,MS10,This is a variable product called a Logan  HeatTec® Tee,https://scrapingcourse.com/ecommerce/product/logan--heattec&reg;-tee
46,Atomic Endurance Running Tee (V-neck),$28,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms11-green_main.jpg,5,MS11,This is a variable product called a Atomic Endurance Running Tee (V-neck),https://scrapingcourse.com/ecommerce/product/atomic-endurance-running-tee-(v-neck)
47,Atomic Endurance Running Tee (Crew-Neck),$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms12-red_main.jpg,5,MS12,This is a variable product called a Atomic Endurance Running Tee (Crew-Neck),https://scrapingcourse.com/ecommerce/product/atomic-endurance-running-tee-(crew-neck)
48,Cobalt CoolTech&trade; Fitness Short,$44,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh01-blue_main.jpg,5,MSH01,This is a variable product called a Cobalt CoolTech™ Fitness Short,https://scrapingcourse.com/ecommerce/product/cobalt-cooltech&trade;-fitness-short
49,Apollo Running Short,$32.5,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh02-black_main.jpg,5,MSH02,This is a variable product called a Apollo Running Short,https://scrapingcourse.com/ecommerce/product/apollo-running-short
50,Meteor Workout Short,$32.5,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh03-blue_main.jpg,5,MSH03,This is a variable product called a Meteor Workout Short,https://scrapingcourse.com/ecommerce/product/meteor-workout-short
51,Torque Power Short,$32.5,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh04-gray_main.jpg,5,MSH04,This is a variable product called a Torque Power Short,https://scrapingcourse.com/ecommerce/product/torque-power-short
52,Hawkeye Yoga Short,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh05-gray_main.jpg,6,MSH05,This is a variable product called a Hawkeye Yoga Short,https://scrapingcourse.com/ecommerce/product/hawkeye-yoga-short
53,Lono Yoga Short,$32,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh06-gray_main.jpg,6,MSH06,This is a variable product called a Lono Yoga Short,https://scrapingcourse.com/ecommerce/product/lono-yoga-short
54,Rapha Sports Short,$35,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh07-black_main.jpg,6,MSH07,This is a variable product called a Rapha  Sports Short,https://scrapingcourse.com/ecommerce/product/rapha--sports-short
55,Orestes Fitness Short,$35,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh08-black_main.jpg,6,MSH08,This is a variable product called a Orestes Fitness Short,https://scrapingcourse.com/ecommerce/product/orestes-fitness-short
56,Troy Yoga Short,$24,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh09-blue_main.jpg,6,MSH09,This is a variable product called a Troy Yoga Short,https://scrapingcourse.com/ecommerce/product/troy-yoga-short
57,Sol Active Short,$32,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh10-blue_main.jpg,6,MSH10,This is a variable product called a Sol Active Short,https://scrapingcourse.com/ecommerce/product/sol-active-short
58,Arcadio Gym Short,$20,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh11-blue_main.jpg,6,MSH11,This is a variable product called a Arcadio Gym Short,https://scrapingcourse.com/ecommerce/product/arcadio-gym-short
59,Pierce Gym Short,$27,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh12-red_main.jpg,6,MSH12,This is a variable product called a Pierce Gym Short,https://scrapingcourse.com/ecommerce/product/pierce-gym-short
60,Erikssen CoolTech&trade; Fitness Tank,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt01-red_main.jpg,6,MT01,This is a variable product called a Erikssen CoolTech™ Fitness Tank,https://scrapingcourse.com/ecommerce/product/erikssen-cooltech&trade;-fitness-tank
61,Tristan Endurance Tank,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt02-white_main.jpg,6,MT02,This is a variable product called a Tristan Endurance Tank,https://scrapingcourse.com/ecommerce/product/tristan-endurance-tank
62,Primo Endurance Tank,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt03-red_main.jpg,7,MT03,This is a variable product called a Primo Endurance Tank,https://scrapingcourse.com/ecommerce/product/primo-endurance-tank
63,Helios Endurance Tank,$32,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt04-blue_main.jpg,7,MT04,This is a variable product called a Helios Endurance Tank,https://scrapingcourse.com/ecommerce/product/helios-endurance-tank
64,Rocco Gym Tank,$24,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt05-blue_main.jpg,7,MT05,This is a variable product called a Rocco Gym Tank,https://scrapingcourse.com/ecommerce/product/rocco-gym-tank
65,Vulcan Weightlifting Tank,$28,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt06-black_main.jpg,7,MT06,This is a variable product called a Vulcan Weightlifting Tank,https://scrapingcourse.com/ecommerce/product/vulcan-weightlifting-tank
66,Argus All-Weather Tank,$22,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt07-gray_main.jpg,7,MT07,This is a variable product called a Argus All-Weather Tank,https://scrapingcourse.com/ecommerce/product/argus-all-weather-tank
67,Sparta Gym Tank,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt08-green_main.jpg,7,MT08,This is a variable product called a Sparta Gym Tank,https://scrapingcourse.com/ecommerce/product/sparta-gym-tank
68,Sinbad Fitness Tank,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt09-blue_main.jpg,7,MT09,This is a variable product called a Sinbad Fitness Tank,https://scrapingcourse.com/ecommerce/product/sinbad-fitness-tank
69,Tiberius Gym Tank,$18,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt10-yellow_main.jpg,7,MT10,This is a variable product called a Tiberius Gym Tank,https://scrapingcourse.com/ecommerce/product/tiberius-gym-tank
70,Atlas Fitness Tank,$18,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt11-blue_main.jpg,7,MT11,This is a variable product called a Atlas Fitness Tank,https://scrapingcourse.com/ecommerce/product/atlas-fitness-tank
71,Cassius Sparring Tank,$18,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt12-blue_main.jpg,7,MT12,This is a variable product called a Cassius Sparring Tank,https://scrapingcourse.com/ecommerce/product/cassius-sparring-tank
72,Electra Bra Top,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wb01-gray_main.jpg,8,WB01,This is a variable product called a Electra Bra Top,https://scrapingcourse.com/ecommerce/product/electra-bra-top
73,Erica Evercool Sports Bra,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wb02-blue_main.jpg,8,WB02,This is a variable product called a Erica Evercool Sports Bra,https://scrapingcourse.com/ecommerce/product/erica-evercool-sports-bra
74,Celeste Sports Bra,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wb03-green_main.jpg,8,WB03,This is a variable product called a Celeste Sports Bra,https://scrapingcourse.com/ecommerce/product/celeste-sports-bra
75,Prima Compete Bra Top,$24,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wb04-blue_main.jpg,8,WB04,This is a variable product called a Prima Compete Bra Top,https://scrapingcourse.com/ecommerce/product/prima-compete-bra-top
76,Lucia Cross-Fit Bra,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wb05-black_main.jpg,8,WB05,This is a variable product called a Lucia Cross-Fit Bra,https://scrapingcourse.com/ecommerce/product/lucia-cross-fit-bra
77,Mona Pullover Hoodlie,$57,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh01-green_main.jpg,8,WH01,This is a variable product called a Mona Pullover Hoodlie,https://scrapingcourse.com/ecommerce/product/mona-pullover-hoodlie
78,Hera Pullover Hoodie,$48,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh02-blue_main.jpg,8,WH02,This is a variable product called a Hera Pullover Hoodie,https://scrapingcourse.com/ecommerce/product/hera-pullover-hoodie
79,Autumn Pullie,$57,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh03-red_main.jpg,8,WH03,This is a variable product called a Autumn Pullie,https://scrapingcourse.com/ecommerce/product/autumn-pullie
80,Miko Pullover Hoodie,$69,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh04-blue_main.jpg,8,WH04,This is a variable product called a Miko Pullover Hoodie,https://scrapingcourse.com/ecommerce/product/miko-pullover-hoodie
81,Selene Yoga Hoodie,$42,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh05-white_main.jpg,8,WH05,This is a variable product called a Selene Yoga Hoodie,https://scrapingcourse.com/ecommerce/product/selene-yoga-hoodie
82,Daphne Full-Zip Hoodie,$59,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh06-purple_main.jpg,9,WH06,This is a variable product called a Daphne Full-Zip Hoodie,https://scrapingcourse.com/ecommerce/product/daphne-full-zip-hoodie
83,Phoebe Zipper Sweatshirt,$59,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh07-gray_main.jpg,9,WH07,This is a variable product called a Phoebe Zipper Sweatshirt,https://scrapingcourse.com/ecommerce/product/phoebe-zipper-sweatshirt
84,Cassia Funnel Sweatshirt,$48,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh08-white_main.jpg,9,WH08,This is a variable product called a Cassia Funnel Sweatshirt,https://scrapingcourse.com/ecommerce/product/cassia-funnel-sweatshirt
85,Ariel Roll Sleeve Sweatshirt,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh09-purple_main.jpg,9,WH09,This is a variable product called a Ariel Roll Sleeve Sweatshirt,https://scrapingcourse.com/ecommerce/product/ariel-roll-sleeve-sweatshirt
86,Helena Hooded Fleece,$55,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh10-gray_main.jpg,9,WH10,This is a variable product called a Helena Hooded Fleece,https://scrapingcourse.com/ecommerce/product/helena-hooded-fleece
87,Eos V-Neck Hoodie,$54,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh11-blue_main.jpg,9,WH11,This is a variable product called a Eos V-Neck Hoodie,https://scrapingcourse.com/ecommerce/product/eos-v-neck-hoodie
88,Circe Hooded Ice Fleece,$68,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh12-gray_main.jpg,9,WH12,This is a variable product called a Circe Hooded Ice Fleece,https://scrapingcourse.com/ecommerce/product/circe-hooded-ice-fleece
89,Stellar Solar Jacket,$75,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj01-red_main.jpg,9,WJ01,This is a variable product called a Stellar Solar Jacket,https://scrapingcourse.com/ecommerce/product/stellar-solar-jacket
90,Josie Yoga Jacket,$56.25,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj02-gray_main.jpg,9,WJ02,This is a variable product called a Josie Yoga Jacket,https://scrapingcourse.com/ecommerce/product/josie-yoga-jacket
91,Augusta Pullover Jacket,$57,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj03-red_main.jpg,9,WJ03,This is a variable product called a Augusta Pullover Jacket,https://scrapingcourse.com/ecommerce/product/augusta-pullover-jacket
92,Ingrid Running Jacket,$84,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj04-white_main.jpg,10,WJ04,This is a variable product called a Ingrid Running Jacket,https://scrapingcourse.com/ecommerce/product/ingrid-running-jacket
93,Riona Full Zip Jacket,$60,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj05-brown_main.jpg,10,WJ05,This is a variable product called a Riona Full Zip Jacket,https://scrapingcourse.com/ecommerce/product/riona-full-zip-jacket
94,Juno Jacket,$77,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj06-purple_main.jpg,10,N/A,N/A,https://scrapingcourse.com/ecommerce/product/juno-jacket
95,Inez Full Zip Jacket,$59,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj07-purple_main.jpg,10,N/A,N/A,https://scrapingcourse.com/ecommerce/product/inez-full-zip-jacket
96,Adrienne Trek Jacket,$57,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj08-gray_main.jpg,10,WJ08,This is a variable product called a Adrienne Trek Jacket,https://scrapingcourse.com/ecommerce/product/adrienne-trek-jacket
97,Jade Yoga Jacket,$32,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj09-green_main.jpg,10,WJ09,This is a variable product called a Jade Yoga Jacket,https://scrapingcourse.com/ecommerce/product/jade-yoga-jacket
98,Nadia Elements Shell,$69,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj10-yellow_main.jpg,10,WJ10,This is a variable product called a Nadia Elements Shell,https://scrapingcourse.com/ecommerce/product/nadia-elements-shell
99,Neve Studio Dance Jacket,$69,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj11-blue_main.jpg,10,WJ11,This is a variable product called a Neve Studio Dance Jacket,https://scrapingcourse.com/ecommerce/product/neve-studio-dance-jacket
100,Olivia 1/4 Zip Light Jacket,$77,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj12-blue_main.jpg,10,N/A,N/A,https://scrapingcourse.com/ecommerce/product/olivia-1/4-zip-light-jacket
101,Karmen Yoga Pant,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp01-gray_main.jpg,10,WP01,This is a variable product called a Karmen Yoga Pant,https://scrapingcourse.com/ecommerce/product/karmen-yoga-pant
102,Emma Leggings,$42,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp02-blue_main.jpg,11,N/A,N/A,https://scrapingcourse.com/ecommerce/product/emma-leggings
103,Ida Workout Parachute Pant,$48,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp03-blue_main.jpg,11,WP03,This is a variable product called a Ida Workout Parachute Pant,https://scrapingcourse.com/ecommerce/product/ida-workout-parachute-pant
104,Cora Parachute Pant,$75,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp04-blue_main.jpg,11,WP04,This is a variable product called a Cora Parachute Pant,https://scrapingcourse.com/ecommerce/product/cora-parachute-pant
105,Sahara Leggings,$75,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp05-gray_main.jpg,11,WP05,This is a variable product called a Sahara Leggings,https://scrapingcourse.com/ecommerce/product/sahara-leggings
106,Diana Tights,$59,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp06-black_main.jpg,11,WP06,This is a variable product called a Diana Tights,https://scrapingcourse.com/ecommerce/product/diana-tights
107,Aeon Capri,$48,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp07-black_main.jpg,11,WP07,This is a variable product called a Aeon Capri,https://scrapingcourse.com/ecommerce/product/aeon-capri
108,Bardot Capri,$48,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp08-black_main.jpg,11,WP08,This is a variable product called a Bardot Capri,https://scrapingcourse.com/ecommerce/product/bardot-capri
109,Carina Basic Capri,$51,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp09-black_main.jpg,11,WP09,This is a variable product called a Carina Basic Capri,https://scrapingcourse.com/ecommerce/product/carina-basic-capri
110,Daria Bikram Pant,$51,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp10-gray_main.jpg,11,WP10,This is a variable product called a Daria Bikram Pant,https://scrapingcourse.com/ecommerce/product/daria-bikram-pant
111,Sylvia Capri,$42,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp11-green_main.jpg,11,WP11,This is a variable product called a Sylvia Capri,https://scrapingcourse.com/ecommerce/product/sylvia-capri
112,Deirdre Relaxed-Fit Capri,$63,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp12-gray_main.jpg,12,WP12,This is a variable product called a Deirdre Relaxed-Fit Capri,https://scrapingcourse.com/ecommerce/product/deirdre-relaxed-fit-capri
113,Portia Capri,$49,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp13-orange_main.jpg,12,WP13,This is a variable product called a Portia Capri,https://scrapingcourse.com/ecommerce/product/portia-capri
